Country Name,2010,2011,2012,2013,2014
Central African Republic,0.059350908,0.0622615,0.06533025,0.06601109,0.066593111
Canada,15.723167,15.63975962,14.89063564,14.71197182,15.11715878
Central Europe and the Baltics,6.828033565,6.864349465,6.504366995,6.344838262,6.14888254
Switzerland,4.983428945,4.672038363,4.723574287,4.972835876,4.311562994
Channel Islands,,,,,
Chile,4.251715171,4.619729537,4.677982797,4.76586599,4.687376624
China,6.560520007,7.241515419,7.424750916,7.557211045,7.543907641
Cote d'Ivoire,0.341512032,0.346951476,0.434007998,0.486455715,0.490206046
Cameroon,0.33951502,0.281094803,0.290648216,0.312755732,0.314928068
"Congo, Dem. Rep.",0.031314551,0.037377088,0.034820686,0.050339213,0.063369191
"Congo, Rep.",0.451406105,0.50055554,0.641061363,0.649833428,0.635369293
Colombia,1.658923082,1.64912349,1.705398582,1.893103161,1.759537174
Comoros,0.233942107,0.192025124,0.197567789,0.237378287,0.202814119
Cabo Verde,1.109478009,1.212548739,0.984565517,0.958866077,0.933403237
Costa Rica,1.665175303,1.682660743,1.668780062,1.614402173,1.630951062
Caribbean small states,9.27710945,9.143734221,8.886377531,9.138025489,8.884541385
Cuba,3.386127443,3.169444662,3.176608348,3.049362141,3.045210624
Curacao,,,39.44566304,33.89940321,37.72628905
Cayman Islands,10.04168844,10.36992524,9.307268397,9.172054616,9.171838032
Cyprus,6.927903563,6.60156823,6.096256416,5.199663256,5.260352041
Czech Republic,10.65257862,10.18548225,9.611985879,9.384891603,9.165978376
Germany,9.279634012,9.12485921,9.199299757,9.39062342,8.889370395
Djibouti,0.607471574,0.546278771,0.586763279,0.678855968,0.791961752
Dominica,1.950531915,1.789578627,1.883279662,1.823370166,1.864285911
Denmark,8.40721667,7.296383208,6.514800847,6.862565032,5.935712482
Dominican Republic,2.123958664,2.117090045,2.178544552,2.085432517,2.069986634
Algeria,3.299703688,3.291376176,3.46026581,3.507310029,3.717409901
East Asia & Pacific (excluding high income),5.106044509,5.641636355,5.773224485,5.790459749,5.775478345
Early-demographic dividend,2.119826541,2.201370084,2.295942682,2.210865063,2.295302152
East Asia & Pacific,5.701782638,6.190022864,6.307117957,6.330498005,6.293604976
Europe & Central Asia (excluding high income),7.555768031,7.883872362,7.999170481,7.733275947,7.421328159
Europe & Central Asia,7.542938641,7.500065132,7.473206993,7.289242461,6.916049326
Ecuador,2.441361756,2.543911176,2.473495016,2.617689044,2.761702175
"Egypt, Arab Rep.",2.41019138,2.528167325,2.471928185,2.376329652,2.198980246
Euro area,7.425634257,7.16146999,6.997097054,6.844462028,6.474920548
Eritrea,0.11692068,0.132758694,,,
Spain,5.816416366,5.788018458,5.660938803,5.084398353,5.033824487
Estonia,13.59968907,14.01673297,13.32400037,15.09371797,14.84881917
Ethiopia,0.07509386,0.085803968,0.092622864,0.112072453,0.119124015
European Union,7.356304954,7.07946092,6.917802512,6.75382527,6.379148848
Fragile and conflict affected situations,0.842662477,0.825987786,0.841904675,0.880020574,0.886959024
Finland,11.57528165,10.54447474,9.075433356,8.681780123,8.660721243
